epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1174.81,0.67999,0.42334,0.92312,0.9377,0.83392,0.88382,0.68713,0.85672,0.59548,1.04241,0.000218,0.000218,0.000218
92,1187.57,0.66613,0.413,0.9184,0.94355,0.8379,0.88717,0.69122,0.84756,0.59431,1.03443,0.0001982,0.0001982,0.0001982
93,1200.33,0.66645,0.39997,0.92371,0.94485,0.8363,0.88508,0.68936,0.84487,0.58988,1.03228,0.0001784,0.0001784,0.0001784
94,1213.03,0.65294,0.38987,0.90469,0.95618,0.83245,0.88443,0.68876,0.85384,0.58881,1.03364,0.0001586,0.0001586,0.0001586
95,1225.8,0.65656,0.39304,0.9183,0.94256,0.83377,0.88088,0.68494,0.85719,0.59927,1.04297,0.0001388,0.0001388,0.0001388
96,1238.51,0.65495,0.3876,0.91044,0.94938,0.83641,0.88722,0.69,0.84839,0.58736,1.03791,0.000119,0.000119,0.000119
97,1251.23,0.65278,0.3843,0.91385,0.94295,0.83641,0.88568,0.68704,0.84893,0.59169,1.04075,9.92e-05,9.92e-05,9.92e-05
98,1264,0.646,0.39186,0.91545,0.94074,0.84037,0.88518,0.68909,0.85021,0.59518,1.04304,7.94e-05,7.94e-05,7.94e-05
99,1276.78,0.64632,0.38788,0.91471,0.93936,0.83792,0.88428,0.68898,0.84869,0.59036,1.03911,5.96e-05,5.96e-05,5.96e-05
100,1289.65,0.63908,0.383,0.90837,0.94217,0.83831,0.88257,0.68953,0.84795,0.58682,1.03948,3.98e-05,3.98e-05,3.98e-05
